Distrito,Año,Escenario,Poblacion ajustada_agua,Pob ajustada_Campo,,,
Yanahuara,2048,Alto,28245,,,,
Yanahuara,2049,Alto,28278,,,,
Yanahuara,2050,Alto,28312,,,,
Arequipa,2023,Bajo,54362,,,,
Arequipa,2024,Bajo,54147,,,,
Arequipa,2025,Bajo,53932,,,,
Arequipa,2026,Bajo,53717,,,,
Arequipa,2027,Bajo,53502,,,,
Arequipa,2028,Bajo,53287,,,,
Arequipa,2029,Bajo,53072,,,,
Arequipa,2030,Bajo,52857,,,,
Arequipa,2031,Bajo,52642,,,,
Arequipa,2032,Bajo,52427,,,,
Arequipa,2033,Bajo,52212,,,,
Arequipa,2034,Bajo,51997,,,,
Arequipa,2035,Bajo,51782,,,,
Arequipa,2036,Bajo,51567,,,,
Arequipa,2037,Bajo,51352,,,,
Arequipa,2038,Bajo,51137,,,,
Arequipa,2039,Bajo,50922,,,,
Arequipa,2040,Bajo,50707,,,,
Arequipa,2041,Bajo,50492,,,,
Arequipa,2042,Bajo,50277,,,,
Arequipa,2043,Bajo,50062,,,,
Arequipa,2044,Bajo,49847,,,,
Arequipa,2045,Bajo,49632,,,,
Arequipa,2046,Bajo,49417,,,,
Arequipa,2047,Bajo,49202,,,,
Arequipa,2048,Bajo,48987,,,,
Arequipa,2049,Bajo,48772,,,,
Arequipa,2050,Bajo,48557,,,,
Cayma,2023,Bajo,110831,,,,
Cayma,2024,Bajo,110919,,,,
Cayma,2025,Bajo,111007,,,,
Cayma,2026,Bajo,111093,,,,
Cayma,2027,Bajo,111179,,,,
Cayma,2028,Bajo,111264,,,,
Cayma,2029,Bajo,111348,,,,
Cayma,2030,Bajo,111431,,,,
Cayma,2031,Bajo,111514,,,,
Cayma,2032,Bajo,111596,,,,
Cayma,2033,Bajo,111677,,,,
Cayma,2034,Bajo,111757,,,,
Cayma,2035,Bajo,111837,,,,
Cayma,2036,Bajo,111916,,,,
Cayma,2037,Bajo,111994,,,,
Cayma,2038,Bajo,112071,,,,
Cayma,2039,Bajo,112148,,,,
Cayma,2040,Bajo,112224,,,,
Cayma,2041,Bajo,112299,,,,
Cayma,2042,Bajo,112374,,,,
Cayma,2043,Bajo,112448,,,,
Cayma,2044,Bajo,112521,,,,
Cayma,2045,Bajo,112593,,,,
Cayma,2046,Bajo,112665,,,,
Cayma,2047,Bajo,112736,,,,
Cayma,2048,Bajo,112807,,,,
Cayma,2049,Bajo,112876,,,,
Cayma,2050,Bajo,112945,,,,
Cerro Colorado,2023,Bajo,247274,,,,
Cerro Colorado,2024,Bajo,248190,,,,
Cerro Colorado,2025,Bajo,249086,,,,
Cerro Colorado,2026,Bajo,249964,,,,
Cerro Colorado,2027,Bajo,250824,,,,
Cerro Colorado,2028,Bajo,251665,,,,
Cerro Colorado,2029,Bajo,252487,,,,
Cerro Colorado,2030,Bajo,253292,,,,
Cerro Colorado,2031,Bajo,254080,,,,
Cerro Colorado,2032,Bajo,254850,,,,
Cerro Colorado,2033,Bajo,255603,,,,
Cerro Colorado,2034,Bajo,256339,,,,
Cerro Colorado,2035,Bajo,257059,,,,
Cerro Colorado,2036,Bajo,257762,,,,
Cerro Colorado,2037,Bajo,258450,,,,
Cerro Colorado,2038,Bajo,259122,,,,
Cerro Colorado,2039,Bajo,259778,,,,
Cerro Colorado,2040,Bajo,260419,,,,
Cerro Colorado,2041,Bajo,261046,,,,
Cerro Colorado,2042,Bajo,261657,,,,
Cerro Colorado,2043,Bajo,262255,,,,
Cerro Colorado,2044,Bajo,262838,,,,
Cerro Colorado,2045,Bajo,263408,,,,
Cerro Colorado,2046,Bajo,263963,,,,
Cerro Colorado,2047,Bajo,264506,,,,
Cerro Colorado,2048,Bajo,265036,,,,
Cerro Colorado,2049,Bajo,265553,,,,
Cerro Colorado,2050,Bajo,266057,,,,
Characato,2023,Bajo,18423,,,,
Characato,2024,Bajo,19079,,,,
Characato,2025,Bajo,19757,,,,
Characato,2026,Bajo,20460,,,,
Characato,2027,Bajo,20586,,,,
Characato,2028,Bajo,20708,,,,
Characato,2029,Bajo,20828,,,,
Characato,2030,Bajo,20945,,,,
Characato,2031,Bajo,21059,,,,
Characato,2032,Bajo,21171,,,,
Characato,2033,Bajo,21280,,,,
Characato,2034,Bajo,21386,,,,
Characato,2035,Bajo,21489,,,,
Characato,2036,Bajo,21590,,,,
Characato,2037,Bajo,21688,,,,
Characato,2038,Bajo,21784,,,,
Characato,2039,Bajo,21878,,,,
Characato,2040,Bajo,21968,,,,
Characato,2041,Bajo,22057,,,,
Characato,2042,Bajo,22143,,,,
Characato,2043,Bajo,22227,,,,
Characato,2044,Bajo,22308,,,,
Characato,2045,Bajo,22387,,,,
Characato,2046,Bajo,22465,,,,
Characato,2047,Bajo,22539,,,,
Characato,2048,Bajo,22612,,,,
Characato,2049,Bajo,22683,,,,
Characato,2050,Bajo,22752,,,,
Jacobo Hunter,2023,Bajo,54315,,,,
Jacobo Hunter,2024,Bajo,54321,,,,
Jacobo Hunter,2025,Bajo,54328,,,,
Jacobo Hunter,2026,Bajo,54334,,,,
Jacobo Hunter,2027,Bajo,54341,,,,
Jacobo Hunter,2028,Bajo,54347,,,,
Jacobo Hunter,2029,Bajo,54353,,,,
Jacobo Hunter,2030,Bajo,54360,,,,
Jacobo Hunter,2031,Bajo,54366,,,,
Jacobo Hunter,2032,Bajo,54372,,,,
Jacobo Hunter,2033,Bajo,54378,,,,
Jacobo Hunter,2034,Bajo,54385,,,,
Jacobo Hunter,2035,Bajo,54391,,,,
Jacobo Hunter,2036,Bajo,54397,,,,
Jacobo Hunter,2037,Bajo,54403,,,,
Jacobo Hunter,2038,Bajo,54409,,,,
Jacobo Hunter,2039,Bajo,54416,,,,
Jacobo Hunter,2040,Bajo,54422,,,,
Jacobo Hunter,2041,Bajo,54428,,,,
Jacobo Hunter,2042,Bajo,54434,,,,
Jacobo Hunter,2043,Bajo,54440,,,,
Jacobo Hunter,2044,Bajo,54446,,,,
Jacobo Hunter,2045,Bajo,54452,,,,
Jacobo Hunter,2046,Bajo,54458,,,,
Jacobo Hunter,2047,Bajo,54464,,,,
Jacobo Hunter,2048,Bajo,54470,,,,
Jacobo Hunter,2049,Bajo,54476,,,,
Jacobo Hunter,2050,Bajo,54482,,,,
Mollebaya,2023,Bajo,8090,,,,
Mollebaya,2024,Bajo,8657,,,,
Mollebaya,2025,Bajo,9264,,,,
Mollebaya,2026,Bajo,9913,,,,
Mollebaya,2027,Bajo,10028,,,,
Mollebaya,2028,Bajo,10137,,,,
Mollebaya,2029,Bajo,10242,,,,
Mollebaya,2030,Bajo,10342,,,,
Mollebaya,2031,Bajo,10437,,,,
Mollebaya,2032,Bajo,10528,,,,
Mollebaya,2033,Bajo,10614,,,,
Mollebaya,2034,Bajo,10695,,,,
Mollebaya,2035,Bajo,10773,,,,
Mollebaya,2036,Bajo,10846,,,,
Mollebaya,2037,Bajo,10915,,,,
Mollebaya,2038,Bajo,10981,,,,
Mollebaya,2039,Bajo,11043,,,,
Mollebaya,2040,Bajo,11102,,,,
Mollebaya,2041,Bajo,11157,,,,
Mollebaya,2042,Bajo,11210,,,,
Mollebaya,2043,Bajo,11259,,,,
Mollebaya,2044,Bajo,11306,,,,
Mollebaya,2045,Bajo,11349,,,,
Mollebaya,2046,Bajo,11391,,,,
Mollebaya,2047,Bajo,11430,,,,
Mollebaya,2048,Bajo,11466,,,,
Mollebaya,2049,Bajo,11500,,,,
Mollebaya,2050,Bajo,11533,,,,
Paucarpata,2023,Bajo,138046,,,,
Paucarpata,2024,Bajo,138096,,,,
Paucarpata,2025,Bajo,138146,,,,
Paucarpata,2026,Bajo,138196,,,,
Paucarpata,2027,Bajo,138246,,,,
Paucarpata,2028,Bajo,138296,,,,
Paucarpata,2029,Bajo,138345,,,,
Paucarpata,2030,Bajo,138394,,,,
Paucarpata,2031,Bajo,138443,,,,
Paucarpata,2032,Bajo,138492,,,,
Paucarpata,2033,Bajo,138540,,,,
Paucarpata,2034,Bajo,138588,,,,
Paucarpata,2035,Bajo,138636,,,,
Paucarpata,2036,Bajo,138684,,,,
Paucarpata,2037,Bajo,138732,,,,
Paucarpata,2038,Bajo,138779,,,,
Paucarpata,2039,Bajo,138827,,,,
Paucarpata,2040,Bajo,138874,,,,
Paucarpata,2041,Bajo,138920,,,,
Paucarpata,2042,Bajo,138967,,,,
Paucarpata,2043,Bajo,139014,,,,
Paucarpata,2044,Bajo,139060,,,,
Paucarpata,2045,Bajo,139106,,,,
Paucarpata,2046,Bajo,139152,,,,
Paucarpata,2047,Bajo,139197,,,,
Paucarpata,2048,Bajo,139243,,,,
Paucarpata,2049,Bajo,139288,,,,
Paucarpata,2050,Bajo,139333,,,,
Sachaca,2023,Bajo,30126,,,,
Sachaca,2024,Bajo,30196,,,,
Sachaca,2025,Bajo,30265,,,,
Sachaca,2026,Bajo,30334,,,,
Sachaca,2027,Bajo,30401,,,,
Sachaca,2028,Bajo,30468,,,,
Sachaca,2029,Bajo,30534,,,,
Sachaca,2030,Bajo,30600,,,,
Sachaca,2031,Bajo,30664,,,,
Sachaca,2032,Bajo,30728,,,,
Sachaca,2033,Bajo,30791,,,,
Sachaca,2034,Bajo,30854,,,,
Sachaca,2035,Bajo,30915,,,,
Sachaca,2036,Bajo,30976,,,,
Sachaca,2037,Bajo,31036,,,,
Sachaca,2038,Bajo,31095,,,,
Sachaca,2039,Bajo,31154,,,,
Sachaca,2040,Bajo,31212,,,,
Sachaca,2041,Bajo,31269,,,,
Sachaca,2042,Bajo,31325,,,,
Sachaca,2043,Bajo,31381,,,,
Sachaca,2044,Bajo,31436,,,,
Sachaca,2045,Bajo,31491,,,,
Sachaca,2046,Bajo,31544,,,,
Sachaca,2047,Bajo,31597,,,,
Sachaca,2048,Bajo,31650,,,,
Sachaca,2049,Bajo,31701,,,,
Sachaca,2050,Bajo,31752,,,,
Socabaya,2023,Bajo,87750,,,,
Socabaya,2024,Bajo,87896,,,,
Socabaya,2025,Bajo,88041,,,,
Socabaya,2026,Bajo,88184,,,,
Socabaya,2027,Bajo,88325,,,,
Socabaya,2028,Bajo,88465,,,,
Socabaya,2029,Bajo,88603,,,,
Socabaya,2030,Bajo,88739,,,,
Socabaya,2031,Bajo,88874,,,,
Socabaya,2032,Bajo,89007,,,,
Socabaya,2033,Bajo,89139,,,,
Socabaya,2034,Bajo,89269,,,,
Socabaya,2035,Bajo,89397,,,,
Socabaya,2036,Bajo,89524,,,,
Socabaya,2037,Bajo,89649,,,,
Socabaya,2038,Bajo,89772,,,,
Socabaya,2039,Bajo,89895,,,,
Socabaya,2040,Bajo,90015,,,,
Socabaya,2041,Bajo,90134,,,,
Socabaya,2042,Bajo,90252,,,,
Socabaya,2043,Bajo,90368,,,,
Socabaya,2044,Bajo,90483,,,,
Socabaya,2045,Bajo,90596,,,,
Socabaya,2046,Bajo,90708,,,,
Socabaya,2047,Bajo,90819,,,,
Socabaya,2048,Bajo,90928,,,,
Socabaya,2049,Bajo,91036,,,,
Socabaya,2050,Bajo,91142,,,,
Tiabaya,2023,Bajo,17709,,,,
Tiabaya,2024,Bajo,17770,,,,
Tiabaya,2025,Bajo,17832,,,,
Tiabaya,2026,Bajo,17894,,,,
Tiabaya,2027,Bajo,17906,,,,
Tiabaya,2028,Bajo,17918,,,,
Tiabaya,2029,Bajo,17930,,,,
Tiabaya,2030,Bajo,17943,,,,
Tiabaya,2031,Bajo,17955,,,,
Tiabaya,2032,Bajo,17967,,,,
Tiabaya,2033,Bajo,17979,,,,
Tiabaya,2034,Bajo,17991,,,,
Tiabaya,2035,Bajo,18003,,,,
Tiabaya,2036,Bajo,18015,,,,
Tiabaya,2037,Bajo,18027,,,,
Tiabaya,2038,Bajo,18039,,,,
Tiabaya,2039,Bajo,18051,,,,
Tiabaya,2040,Bajo,18063,,,,
Tiabaya,2041,Bajo,18075,,,,
Tiabaya,2042,Bajo,18087,,,,
Tiabaya,2043,Bajo,18098,,,,
Tiabaya,2044,Bajo,18110,,,,
Tiabaya,2045,Bajo,18122,,,,
Tiabaya,2046,Bajo,18134,,,,
Tiabaya,2047,Bajo,18146,,,,
Tiabaya,2048,Bajo,18157,,,,
Tiabaya,2049,Bajo,18169,,,,
Tiabaya,2050,Bajo,18181,,,,
Uchumayo,2023,Bajo,17981,,,,
Uchumayo,2024,Bajo,18177,,,,
Uchumayo,2025,Bajo,18374,,,,
Uchumayo,2026,Bajo,18574,,,,
Uchumayo,2027,Bajo,18613,,,,
Uchumayo,2028,Bajo,18651,,,,
Uchumayo,2029,Bajo,18689,,,,
Uchumayo,2030,Bajo,18726,,,,
Uchumayo,2031,Bajo,18764,,,,
Uchumayo,2032,Bajo,18801,,,,
Uchumayo,2033,Bajo,18838,,,,
Uchumayo,2034,Bajo,18874,,,,
Uchumayo,2035,Bajo,18911,,,,
Uchumayo,2036,Bajo,18947,,,,
Uchumayo,2037,Bajo,18983,,,,
Uchumayo,2038,Bajo,19018,,,,
Uchumayo,2039,Bajo,19054,,,,
Uchumayo,2040,Bajo,19089,,,,
Uchumayo,2041,Bajo,19124,,,,
Uchumayo,2042,Bajo,19158,,,,
Uchumayo,2043,Bajo,19193,,,,
Uchumayo,2044,Bajo,19227,,,,
Uchumayo,2045,Bajo,19261,,,,
Uchumayo,2046,Bajo,19294,,,,
Uchumayo,2047,Bajo,19328,,,,
Uchumayo,2048,Bajo,19361,,,,
Uchumayo,2049,Bajo,19393,,,,
Uchumayo,2050,Bajo,19426,,,,
Yanahuara,2023,Bajo,27353,,,,
Yanahuara,2024,Bajo,27354,,,,
Yanahuara,2025,Bajo,27355,,,,
Yanahuara,2026,Bajo,27356,,,,
Yanahuara,2027,Bajo,27357,,,,
Yanahuara,2028,Bajo,27359,,,,
Yanahuara,2029,Bajo,27360,,,,
Yanahuara,2030,Bajo,27361,,,,
Yanahuara,2031,Bajo,27362,,,,
Yanahuara,2032,Bajo,27363,,,,
Yanahuara,2033,Bajo,27364,,,,
Yanahuara,2034,Bajo,27365,,,,
Yanahuara,2035,Bajo,27366,,,,
Yanahuara,2036,Bajo,27367,,,,
Yanahuara,2037,Bajo,27368,,,,
Yanahuara,2038,Bajo,27369,,,,
Yanahuara,2039,Bajo,27370,,,,
Yanahuara,2040,Bajo,27371,,,,
Yanahuara,2041,Bajo,27372,,,,
Yanahuara,2042,Bajo,27373,,,,
Yanahuara,2043,Bajo,27374,,,,
Yanahuara,2044,Bajo,27375,,,,
Yanahuara,2045,Bajo,27376,,,,
Yanahuara,2046,Bajo,27377,,,,
Yanahuara,2047,Bajo,27378,,,,
Yanahuara,2048,Bajo,27379,,,,
Yanahuara,2049,Bajo,27380,,,,
Yanahuara,2050,Bajo,27381,,,,
