Distrito,Año,Escenario,Poblacion ajustada_agua,Pob ajustada_Campo,,,
Mollebaya,2039,Base,12397,,,,
Mollebaya,2040,Base,12465,,,,
Mollebaya,2041,Base,12529,,,,
Mollebaya,2042,Base,12588,,,,
Mollebaya,2043,Base,12643,,,,
Mollebaya,2044,Base,12694,,,,
Mollebaya,2045,Base,12742,,,,
Mollebaya,2046,Base,12787,,,,
Mollebaya,2047,Base,12828,,,,
Mollebaya,2048,Base,12867,,,,
Mollebaya,2049,Base,12902,,,,
Mollebaya,2050,Base,12935,,,,
Paucarpata,2023,Base,138046,,,,
Paucarpata,2024,Base,138179,,,,
Paucarpata,2025,Base,138312,,,,
Paucarpata,2026,Base,138444,,,,
Paucarpata,2027,Base,138576,,,,
Paucarpata,2028,Base,138707,,,,
Paucarpata,2029,Base,138838,,,,
Paucarpata,2030,Base,138968,,,,
Paucarpata,2031,Base,139098,,,,
Paucarpata,2032,Base,139227,,,,
Paucarpata,2033,Base,139356,,,,
Paucarpata,2034,Base,139484,,,,
Paucarpata,2035,Base,139612,,,,
Paucarpata,2036,Base,139739,,,,
Paucarpata,2037,Base,139865,,,,
Paucarpata,2038,Base,139991,,,,
Paucarpata,2039,Base,140117,,,,
Paucarpata,2040,Base,140242,,,,
Paucarpata,2041,Base,140367,,,,
Paucarpata,2042,Base,140491,,,,
Paucarpata,2043,Base,140615,,,,
Paucarpata,2044,Base,140738,,,,
Paucarpata,2045,Base,140860,,,,
Paucarpata,2046,Base,140983,,,,
Paucarpata,2047,Base,141104,,,,
Paucarpata,2048,Base,141225,,,,
Paucarpata,2049,Base,141346,,,,
Paucarpata,2050,Base,141466,,,,
Sachaca,2023,Base,30126,31699,,,
Sachaca,2024,Base,30702,32305,,,
Sachaca,2025,Base,31289,32922,,,
Sachaca,2026,Base,31887,33552,,,
Sachaca,2027,Base,31999,33669,,,
Sachaca,2028,Base,32109,33785,,,
Sachaca,2029,Base,32218,33900,,,
Sachaca,2030,Base,32325,34012,,,
Sachaca,2031,Base,32432,34125,,,
Sachaca,2032,Base,32536,34234,,,
Sachaca,2033,Base,32640,34344,,,
Sachaca,2034,Base,32742,34451,,,
Sachaca,2035,Base,32843,34557,,,
Sachaca,2036,Base,32943,34663,,,
Sachaca,2037,Base,33042,34767,,,
Sachaca,2038,Base,33139,34869,,,
Sachaca,2039,Base,33235,34970,,,
Sachaca,2040,Base,33329,35069,,,
Sachaca,2041,Base,33423,35168,,,
Sachaca,2042,Base,33515,35264,,,
Sachaca,2043,Base,33606,35360,,,
Sachaca,2044,Base,33696,35455,,,
Sachaca,2045,Base,33784,35548,,,
Sachaca,2046,Base,33871,35639,,,
Sachaca,2047,Base,33957,35730,,,
Sachaca,2048,Base,34042,35819,,,
Sachaca,2049,Base,34126,35907,,,
Sachaca,2050,Base,34209,35995,,,
Socabaya,2023,Base,87750,,,,
Socabaya,2024,Base,88060,,,,
Socabaya,2025,Base,88367,,,,
Socabaya,2026,Base,88671,,,,
Socabaya,2027,Base,88971,,,,
Socabaya,2028,Base,89268,,,,
Socabaya,2029,Base,89562,,,,
Socabaya,2030,Base,89852,,,,
Socabaya,2031,Base,90139,,,,
Socabaya,2032,Base,90423,,,,
Socabaya,2033,Base,90704,,,,
Socabaya,2034,Base,90981,,,,
Socabaya,2035,Base,91255,,,,
Socabaya,2036,Base,91526,,,,
Socabaya,2037,Base,91794,,,,
Socabaya,2038,Base,92059,,,,
Socabaya,2039,Base,92320,,,,
Socabaya,2040,Base,92578,,,,
Socabaya,2041,Base,92833,,,,
Socabaya,2042,Base,93085,,,,
Socabaya,2043,Base,93334,,,,
Socabaya,2044,Base,93580,,,,
Socabaya,2045,Base,93822,,,,
Socabaya,2046,Base,94062,,,,
Socabaya,2047,Base,94299,,,,
Socabaya,2048,Base,94532,,,,
Socabaya,2049,Base,94763,,,,
Socabaya,2050,Base,94991,,,,
Tiabaya,2023,Base,17709,19248,,,
Tiabaya,2024,Base,17781,19326,,,
Tiabaya,2025,Base,17854,19406,,,
Tiabaya,2026,Base,17927,19485,,,
Tiabaya,2027,Base,18000,19564,,,
Tiabaya,2028,Base,18073,19644,,,
Tiabaya,2029,Base,18147,19724,,,
Tiabaya,2030,Base,18221,19804,,,
Tiabaya,2031,Base,18295,19885,,,
Tiabaya,2032,Base,18370,19966,,,
Tiabaya,2033,Base,18444,20047,,,
Tiabaya,2034,Base,18520,20129,,,
Tiabaya,2035,Base,18595,20211,,,
Tiabaya,2036,Base,18671,20294,,,
Tiabaya,2037,Base,18747,20376,,,
Tiabaya,2038,Base,18824,20460,,,
Tiabaya,2039,Base,18900,20542,,,
Tiabaya,2040,Base,18977,20626,,,
Tiabaya,2041,Base,19055,20711,,,
Tiabaya,2042,Base,19132,20795,,,
Tiabaya,2043,Base,19210,20879,,,
Tiabaya,2044,Base,19289,20965,,,
Tiabaya,2045,Base,19367,21050,,,
Tiabaya,2046,Base,19446,21136,,,
Tiabaya,2047,Base,19526,21223,,,
Tiabaya,2048,Base,19605,21309,,,
Tiabaya,2049,Base,19685,21396,,,
Tiabaya,2050,Base,19765,21483,,,
Uchumayo,2023,Base,17981,19464,,,
Uchumayo,2024,Base,18211,19713,,,
Uchumayo,2025,Base,18445,19967,,,
Uchumayo,2026,Base,18681,20222,,,
Uchumayo,2027,Base,18920,20481,,,
Uchumayo,2028,Base,19163,20744,,,
Uchumayo,2029,Base,19408,21009,,,
Uchumayo,2030,Base,19657,21279,,,
Uchumayo,2031,Base,19909,21551,,,
Uchumayo,2032,Base,20164,21828,,,
Uchumayo,2033,Base,20422,22107,,,
Uchumayo,2034,Base,20684,22390,,,
Uchumayo,2035,Base,20734,22445,,,
Uchumayo,2036,Base,20783,22498,,,
Uchumayo,2037,Base,20832,22551,,,
Uchumayo,2038,Base,20881,22604,,,
Uchumayo,2039,Base,20929,22656,,,
Uchumayo,2040,Base,20977,22708,,,
Uchumayo,2041,Base,21024,22758,,,
Uchumayo,2042,Base,21071,22809,,,
Uchumayo,2043,Base,21118,22860,,,
Uchumayo,2044,Base,21164,22910,,,
Uchumayo,2045,Base,21210,22960,,,
Uchumayo,2046,Base,21256,23010,,,
Uchumayo,2047,Base,21301,23058,,,
Uchumayo,2048,Base,21346,23107,,,
Uchumayo,2049,Base,21390,23155,,,
Uchumayo,2050,Base,21434,,,,
Yanahuara,2023,Base,27353,,,,
Yanahuara,2024,Base,27371,,,,
Yanahuara,2025,Base,27389,,,,
Yanahuara,2026,Base,27406,,,,
Yanahuara,2027,Base,27424,,,,
Yanahuara,2028,Base,27442,,,,
Yanahuara,2029,Base,27459,,,,
Yanahuara,2030,Base,27476,,,,
Yanahuara,2031,Base,27494,,,,
Yanahuara,2032,Base,27511,,,,
Yanahuara,2033,Base,27528,,,,
Yanahuara,2034,Base,27545,,,,
Yanahuara,2035,Base,27562,,,,
Yanahuara,2036,Base,27579,,,,
Yanahuara,2037,Base,27596,,,,
Yanahuara,2038,Base,27612,,,,
Yanahuara,2039,Base,27629,,,,
Yanahuara,2040,Base,27646,,,,
Yanahuara,2041,Base,27662,,,,
Yanahuara,2042,Base,27678,,,,
Yanahuara,2043,Base,27695,,,,
Yanahuara,2044,Base,27711,,,,
Yanahuara,2045,Base,27727,,,,
Yanahuara,2046,Base,27743,,,,
Yanahuara,2047,Base,27759,,,,
Yanahuara,2048,Base,27775,,,,
Yanahuara,2049,Base,27791,,,,
Yanahuara,2050,Base,27807,,,,
Arequipa,2023,Alto,54362,,,,928154
Arequipa,2024,Alto,54219,,,,
Arequipa,2025,Alto,54075,,,,
Arequipa,2026,Alto,53932,,,,
Arequipa,2027,Alto,53789,,,,
Arequipa,2028,Alto,53645,,,,
Arequipa,2029,Alto,53502,,,,
Arequipa,2030,Alto,53359,,,,
Arequipa,2031,Alto,53215,,,,
Arequipa,2032,Alto,53072,,,,
Arequipa,2033,Alto,52929,,,,
Arequipa,2034,Alto,52785,,,,
Arequipa,2035,Alto,52642,,,,
Arequipa,2036,Alto,52499,,,,
Arequipa,2037,Alto,52355,,,,
Arequipa,2038,Alto,52212,,,,
Arequipa,2039,Alto,52069,,,,
Arequipa,2040,Alto,51925,,,,
Arequipa,2041,Alto,51782,,,,
Arequipa,2042,Alto,51639,,,,
Arequipa,2043,Alto,51495,,,,
Arequipa,2044,Alto,51352,,,,
Arequipa,2045,Alto,51209,,,,
Arequipa,2046,Alto,51065,,,,
Arequipa,2047,Alto,50922,,,,
Arequipa,2048,Alto,50779,,,,
Arequipa,2049,Alto,50635,,,,
Arequipa,2050,Alto,50492,,,,
Cayma,2023,Alto,110831,,,,
Cayma,2024,Alto,111239,,,,
Cayma,2025,Alto,111643,,,,
Cayma,2026,Alto,112044,,,,
Cayma,2027,Alto,112442,,,,
Cayma,2028,Alto,112837,,,,
Cayma,2029,Alto,113229,,,,
Cayma,2030,Alto,113617,,,,
Cayma,2031,Alto,114002,,,,
Cayma,2032,Alto,114383,,,,
Cayma,2033,Alto,114762,,,,
Cayma,2034,Alto,115137,,,,
Cayma,2035,Alto,115509,,,,
Cayma,2036,Alto,115878,,,,
Cayma,2037,Alto,116243,,,,
Cayma,2038,Alto,116605,,,,
Cayma,2039,Alto,116964,,,,
Cayma,2040,Alto,117320,,,,
Cayma,2041,Alto,117672,,,,
Cayma,2042,Alto,118021,,,,
Cayma,2043,Alto,118367,,,,
Cayma,2044,Alto,118710,,,,
Cayma,2045,Alto,119049,,,,
Cayma,2046,Alto,119385,,,,
Cayma,2047,Alto,119718,,,,
Cayma,2048,Alto,120048,,,,
Cayma,2049,Alto,120374,,,,
Cayma,2050,Alto,120697,,,,
Cerro Colorado,2023,Alto,247274,,,,
Cerro Colorado,2024,Alto,250119,,,,
Cerro Colorado,2025,Alto,252914,,,,
Cerro Colorado,2026,Alto,255660,,,,
Cerro Colorado,2027,Alto,258354,,,,
Cerro Colorado,2028,Alto,260997,,,,
Cerro Colorado,2029,Alto,263587,,,,
Cerro Colorado,2030,Alto,266125,,,,
Cerro Colorado,2031,Alto,268609,,,,
Cerro Colorado,2032,Alto,271040,,,,
Cerro Colorado,2033,Alto,273417,,,,
Cerro Colorado,2034,Alto,275741,,,,
Cerro Colorado,2035,Alto,278011,,,,
Cerro Colorado,2036,Alto,280227,,,,
Cerro Colorado,2037,Alto,282390,,,,
Cerro Colorado,2038,Alto,284499,,,,
Cerro Colorado,2039,Alto,286556,,,,
Cerro Colorado,2040,Alto,288560,,,,
Cerro Colorado,2041,Alto,290512,,,,
Cerro Colorado,2042,Alto,292413,,,,
Cerro Colorado,2043,Alto,294262,,,,
Cerro Colorado,2044,Alto,296061,,,,
